"R0000100","R0002200","R0002300","R0002451","R0002455","R0003800","R0004000","R0036200","R0058100","R0061900","R0063100","R0063300","R0085900","R0109600","R0140600","R0163800","R0171100","R0171200","R0197000","R0220800","R0279000","R0296200","R0365500","R0383200","R0408000","R0410000","R0430900","R0434100","R0530300","R0543940"
1,18,2,0,1,4,4,3500,12,43,-4,11,6500,12,-5,-5,106,3,-5,-5,3000,12,7200,12,-5,-5,-5,-5,-5,-5
2,19,2,0,1,4,4,3000,5,15,-4,-4,5200,5,6200,5,-4,-4,5500,5,6500,5,4050,5,4802,5,5500,6,8501,7
3,17,1,0,1,4,4,2384,11,35,8,8,2500,12,5000,12,93,3,-5,-5,6000,12,7500,12,6000,12,8500,12,10000,12
4,24,1,0,1,4,4,7000,12,42,14,12,8200,12,-4,12,103,1,10000,12,16000,12,17000,12,18000,12,19000,12,24500,12
5,17,1,0,1,1,3,600,11,25,11,12,2912,11,4000,11,88,1,4500,11,7000,11,0,11,0,11,0,11,1000,11
6,24,1,0,1,1,3,5200,12,34,8,7,-4,12,7000,12,108,1,6500,12,7000,12,9595,12,11000,12,13364,12,14400,12
7,16,1,0,1,1,3,300,11,38,9,12,-5,-5,-5,-5,85,1,-5,-5,-5,-5,3200,11,4700,12,8840,12,9800,12
8,23,1,0,2,1,3,4800,16,41,14,14,5300,16,5500,16,119,7,8000,16,6900,16,10500,16,10100,18,12800,18,13800,18
9,19,1,0,2,1,3,0,13,46,14,14,2662,14,-5,-5,108,7,-5,-5,-5,-5,3500,14,8400,14,10500,14,12000,14
10,18,1,0,2,1,3,3500,12,32,12,12,2883,12,4500,12,96,8,4800,12,7000,12,5200,12,6300,12,6219,12,6500,12
11,19,1,0,2,1,3,700,12,34,12,12,-5,-5,-5,-5,97,8,-5,-5,-5,-5,5200,12,7600,12,10535,12,9500,12
12,18,1,0,1,2,1,2640,9,29,11,12,600,9,200,9,84,15,440,9,0,9,660,9,0,9,9000,9,5000,9
13,16,1,0,1,2,1,125,10,34,11,6,400,11,1300,12,89,1,1700,12,0,12,3960,12,5000,12,6000,12,4000,12
14,14,1,0,1,2,1,52,9,22,11,6,52,10,0,11,93,1,800,11,-4,11,-5,-5,-5,-5,7500,11,7200,11
15,20,1,0,1,2,1,3000,9,27,11,6,3360,9,2496,9,74,1,3400,9,6500,9,8000,9,6000,9,1200,9,4000,11
16,21,2,0,1,2,1,1335,16,43,-4,8,8000,16,-5,-5,116,1,11000,16,10400,16,12000,16,16000,16,21000,16,22500,16
17,14,1,0,2,2,1,300,8,36,15,12,500,9,400,10,-4,-4,400,11,500,11,400,12,800,14,-4,14,-1,14
18,24,1,0,1,2,1,2400,11,37,7,12,5000,11,9500,11,104,1,8000,11,7800,11,11000,11,1000,11,1200,11,1500,11
19,24,1,0,2,2,1,5200,12,40,12,8,5500,12,6800,12,93,2,6200,12,7000,12,8000,12,0,12,5904,12,8100,12
20,19,1,0,2,2,1,2700,14,35,-4,12,6100,14,100,14,100,2,-5,-5,-5,-5,-5,-5,8800,14,9000,14,12000,14
21,24,1,0,2,2,1,4500,12,39,9,12,5700,12,6100,12,95,4,7000,12,8000,12,10000,12,9500,12,13500,12,-5,-5
22,16,1,0,2,2,1,850,9,24,8,8,2520,9,4900,9,91,13,8900,9,8300,9,8000,9,5000,9,5000,10,4000,10
23,22,1,0,2,2,1,2276,12,41,6,-4,4300,12,4500,12,88,4,7000,12,8000,12,10000,12,7340,12,8500,12,8000,-4
24,17,1,0,2,2,1,2500,9,38,-4,8,2500,9,4100,9,82,4,7400,9,8000,9,3000,9,9000,9,18000,9,6000,10
25,22,1,0,2,2,1,5200,12,35,8,8,5000,12,5500,12,88,4,5700,12,9600,12,12000,12,11500,12,16000,12,13500,12
26,22,1,0,1,1,3,3800,17,43,12,13,2300,17,7600,18,-4,0,14000,18,14600,18,20000,18,24000,18,24500,18,27000,18
27,19,1,0,1,1,3,90,13,47,18,16,200,13,-5,-5,148,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
28,17,1,0,1,1,3,500,10,33,11,17,585,11,-5,-5,104,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
29,24,1,0,1,1,3,1500,15,50,-4,8,3500,16,7075,16,114,1,7550,16,8000,17,8200,17,12000,18,16500,18,16000,18
30,22,1,0,2,1,3,6000,14,37,5,14,7000,15,8300,15,111,1,9000,15,12500,15,12500,15,14300,15,16000,15,16000,15
31,18,1,0,1,4,3,3300,11,44,14,12,-5,-5,-5,-5,-5,-5,-5,-5,4600,12,6500,12,9500,12,4500,12,7000,12
32,22,1,0,1,4,3,7000,12,44,11,12,6096,12,15000,12,95,2,8000,12,7800,12,8500,12,14000,12,14000,12,14400,12
33,22,1,0,1,4,3,13000,13,45,12,12,14000,13,-5,-5,115,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
34,15,1,0,2,4,3,500,10,30,8,12,400,11,1000,12,94,1,1000,12,1400,13,2000,14,6000,14,5000,14,0,14
35,24,1,0,2,4,3,3500,15,44,14,13,600,15,7500,16,132,1,8000,16,10800,17,13000,17,12100,18,15000,18,17000,18
36,16,1,0,2,4,3,70,8,27,7,12,1200,9,1200,10,-4,-4,1600,11,-5,-5,-5,-5,-5,-5,2000,12,1800,12
37,22,1,0,1,4,3,1200,13,38,16,16,1000,14,560,15,109,13,2800,16,1925,17,4300,17,7500,17,10000,18,23000,18
38,15,1,0,2,4,3,600,10,43,11,12,500,11,2400,12,108,1,-5,-5,-5,-5,-5,-5,5825,12,3510,12,9360,12
39,19,1,0,3,4,2,1800,12,45,-4,16,861,13,2000,14,102,13,5200,14,7020,14,9500,14,11500,14,14500,14,12400,14
40,16,1,0,3,4,2,610,11,40,12,12,600,12,2000,13,125,1,900,14,3000,14,2000,14,9000,15,9000,15,0,15
41,15,1,0,3,4,1,166,9,39,-4,12,90,10,30,11,79,1,2000,12,-5,-5,-5,-5,-5,-5,-4,12,0,-4
42,21,1,0,1,3,3,600,8,31,13,9,1500,8,600,8,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
43,14,1,0,1,3,3,0,6,20,-4,6,0,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
44,21,2,0,1,3,3,3000,10,22,8,8,4154,10,5460,10,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
45,18,1,0,1,3,3,900,12,44,12,12,3000,12,-5,-5,90,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,17,1,0,1,3,3,2000,10,30,6,6,4000,10,6000,10,73,15,6300,10,6000,10,7000,10,5000,10,5000,10,-5,-5
47,15,1,0,1,3,3,100,9,30,12,12,360,10,0,11,106,15,864,12,6000,12,6500,12,-4,12,4940,12,5200,12
48,15,2,0,1,3,3,130,10,40,-4,11,360,11,2230,11,104,14,-5,-5,6400,11,8000,12,5200,12,0,12,9500,12
49,19,2,0,1,3,3,3900,12,23,-4,-4,3000,12,4056,12,-4,-4,8400,12,6396,12,8000,12,8000,12,6500,12,11000,12
50,16,2,0,1,3,3,100,9,34,8,9,700,9,179,9,73,14,425,9,3800,9,2940,9,-5,-5,-5,-5,-5,-5
51,17,2,0,1,3,3,1482,10,28,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,22,2,0,1,3,3,3600,12,33,8,13,3700,12,4088,12,-4,-4,5100,12,6100,12,6000,12,10000,12,8868,12,-5,-5
53,14,1,0,1,3,3,0,9,24,10,10,0,10,645,11,119,1,1200,12,1400,13,1400,14,4000,16,11000,16,13000,16
54,24,1,0,1,3,3,975,18,47,-4,12,4000,18,6800,18,122,1,9500,18,8300,18,10000,18,13000,18,11500,18,12000,18
55,18,1,0,1,3,3,540,11,32,6,10,4290,11,3300,11,90,14,6000,11,5000,11,6500,11,0,11,0,11,0,11
56,18,1,0,1,3,3,1300,11,34,-4,-4,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,14,1,0,1,3,3,0,9,42,8,8,320,10,500,11,119,7,2500,12,1700,13,2000,14,-4,16,-5,-5,-5,-5
58,23,2,0,1,3,3,2000,12,31,8,8,4700,12,7500,12,-4,-4,-5,-5,6000,12,9000,12,-5,-5,-5,-5,-5,-5
59,24,2,0,1,1,3,3640,6,22,-4,-4,-5,-5,2500,6,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
60,19,2,0,1,1,3,3900,10,18,-4,-4,-4,10,-4,10,80,15,5750,10,-4,10,6000,10,12000,10,-5,-5,-5,-5
61,20,2,0,1,1,3,1500,5,32,-4,-4,1100,5,3952,5,-4,-4,5000,5,-4,5,3000,5,2560,5,1500,7,4836,7
62,20,1,0,1,1,3,2000,13,47,12,12,2500,13,3500,14,118,15,5000,15,4000,15,5000,16,14000,16,21000,16,30000,16
63,21,1,0,1,1,3,5500,10,37,8,6,5100,10,7400,10,105,15,7800,10,9700,10,8000,10,10000,10,14500,10,9000,10
64,24,1,0,1,1,3,5500,16,43,8,11,7060,16,9600,17,115,1,12729,17,13800,17,15000,17,19000,18,20500,18,23000,18
65,14,2,0,1,1,3,0,9,36,-4,10,0,10,80,11,79,15,2886,11,1000,11,1500,11,4464,11,5000,11,-5,-5
66,17,2,0,1,1,3,900,10,20,-4,12,1500,10,3600,10,-4,-4,2400,10,0,10,0,10,0,10,-5,-5,-5,-5
67,14,2,0,1,1,3,25,8,18,-4,-4,0,8,150,9,-4,-4,-5,-5,700,9,4500,9,5500,12,-5,-5,-5,-5
68,22,3,0,1,1,3,4600,12,38,-4,5,2800,12,3500,12,84,1,6400,12,4900,12,7000,12,-4,12,10000,12,8861,12
69,17,2,0,1,1,3,85,12,31,9,10,800,12,-5,-5,94,15,3480,12,0,12,0,12,0,12,0,13,0,13
70,16,2,0,1,1,3,75,11,24,9,9,448,12,3200,12,82,15,-5,-5,-5,-5,-5,-5,0,12,-4,13,-5,-5
71,14,2,0,1,1,3,0,8,34,9,9,0,9,0,10,-4,-4,0,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
72,14,2,0,1,1,3,50,9,28,8,11,-5,-5,-5,-5,73,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
73,16,2,0,1,1,3,1000,11,31,-4,10,-4,11,3500,11,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
74,20,2,0,1,1,3,700,12,18,10,12,600,12,200,12,77,15,9250,12,2000,12,0,12,-5,-5,-5,-5,-5,-5
75,17,2,0,1,1,3,700,12,40,10,12,980,12,-5,-5,102,15,2354,12,0,12,-5,-5,-5,-5,-5,-5,-5,-5
76,18,3,0,1,1,3,1500,4,20,2,6,2200,4,4100,4,-4,-4,5300,4,5000,4,4400,4,-5,-5,-5,-5,-5,-5
